BVP,Heart Rate,Alpha,Beta,Gamma,Label
21.837,81.707,-1.202,1.828,-2.246,1
21.796,81.707,-1.03,-4.221,1.194,1
21.842,81.707,0.791,3.172,2.541,1
21.923,81.707,-0.993,-0.387,1.735,1
21.983,81.707,1.973,-1.575,-0.532,1
22.006,81.707,-1.054,2.317,-1.935,1
22.003,81.707,-1.114,-1.279,0.19,1
21.977,81.707,1.301,-1.548,-0.152,1
21.935,81.707,-0.301,2.361,-1.109,1
21.893,81.707,0.736,-1.636,0.069,1
21.867,81.707,-1.211,2.077,0.38,1
21.876,81.707,-1.074,-2.278,0.946,1
21.906,81.707,3.908,1.207,-0.502,1
21.939,81.707,-2.16,-0.054,-0.93,1
21.961,81.707,-2.664,0.029,-0.329,1
21.974,81.707,3.85,-0.625,-0.557,1
21.712,81.707,-0.89,1.022,1.002,1
21.035,81.707,-1.232,-1.883,1.135,1
20.437,81.707,1.375,2.443,-2.567,1
20.219,85.333,-1.26,-2.607,-0.007,1
20.347,85.338,0.249,2.871,1.727,1
20.771,85.338,1.848,-2.636,0.097,1
21.066,85.338,-2.309,1.111,-0.133,1
21.106,85.338,-0.288,-0.139,1.126,1
21.082,85.338,2.872,0.851,1.983,1
21.112,85.338,-2.156,-0.492,-0.501,1
21.19,85.338,-0.71,-1.917,-1.864,1
21.251,85.338,2.297,3.673,-0.893,1
21.278,85.338,-1.224,-4.298,-2.681,1
21.273,85.338,-0.815,2.631,-0.807,1
21.25,85.338,1.325,-0.539,0.652,1
21.209,85.338,-0.062,-0.329,-1.184,1
21.179,85.338,-0.616,2.695,1.217,1
21.164,85.338,0.226,-4.811,0.885,1
21.175,85.338,-0.781,5.113,0.62,1
21.201,85.338,1.004,-3.39,0.983,1
21.239,85.338,1.525,-0.075,-1.475,1
21.274,85.338,-3.379,0.929,-1.665,1
21.055,85.338,0.385,1.233,-0.796,1
20.371,85.338,3.929,-2.966,-1.266,1
19.72,85.338,-3.366,2.335,0.6,1
19.473,86.292,-1.121,-1.258,-0.439,1
19.465,86.297,3.377,-1.822,-2.87,1
19.454,86.297,-1.998,3.124,1.913,1
19.546,86.297,0.228,-3.626,0.403,1
19.983,86.297,0.386,4.822,-1.691,1
20.453,86.297,-1.23,-3.451,1.101,1
20.639,86.297,2.381,-0.941,0.498,1
20.648,86.297,-0.753,4.272,-0.934,1
20.655,86.297,-2.224,-4.525,0.215,1
20.702,86.297,0.855,0.845,-0.192,1
20.751,86.297,1.021,3.385,-0.082,1
20.747,86.297,1.361,-3.704,2.333,1
20.709,86.297,-1.246,-0.45,-0.828,1
20.671,86.297,-3.865,3.554,-0.271,1
20.644,86.297,4.157,-2.89,-2.638,1
20.629,86.297,3.387,1.067,-3,1
20.633,86.297,-6.435,-1.007,0.544,1
20.666,86.297,0.049,0.592,-1.148,1
20.628,86.297,3.864,-0.07,-0.68,1
20.144,86.297,0.483,0.046,0.146,1
19.467,86.297,-2.802,0.922,0.545,1
19.119,90.353,-2.431,-1.635,0.211,1
19.086,90.358,5.176,1.034,2.605,1
19.105,90.358,0.262,-0.899,-3.685,1
19.071,90.358,-5.236,0.694,-2.435,1
19.012,90.358,3.397,0.579,2.61,1
18.98,90.358,1.147,-1.303,-1.088,1
19.077,90.358,-3.122,0.934,0.241,1
19.601,90.358,1.798,0.347,1.311,1
20.245,90.358,0.647,-2.439,1.216,1
20.559,90.358,-1.643,4.878,1.366,1
20.61,90.358,1.233,-3.239,0.996,1
20.591,90.358,-0.7,-1.267,-0.964,1
20.601,90.358,-0.372,3.408,-0.372,1
20.634,90.358,2.33,-0.289,-0.262,1
20.641,90.358,-2.69,-1.552,2.72,1
20.62,90.358,-0.36,0.341,-1.746,1
20.599,90.358,3.405,1.79,-2.277,1
20.588,90.358,-1.611,-2.576,3.216,1
20.572,90.358,-2.656,1.025,0.218,1
20.312,90.358,3.311,0.84,-0.973,1
19.731,90.358,-0.446,-0.205,-2.013,1
19.243,90.358,-1.631,-2.464,-0.53,1
19.129,89.302,1.584,2.719,0.933,1
19.159,89.307,-1.31,0.439,1.331,1
19.165,89.307,1.106,-2.528,-2.075,1
19.103,89.307,0.958,2.984,-0.617,1
19.045,89.307,-3.319,-3.981,2.628,1
19.041,89.307,1.581,4.005,-0.22,1
19.062,89.307,2.597,-1.277,0.634,1
19.066,89.307,-1.999,-2.514,-0.674,1
19.118,89.307,-2.807,4.354,-0.62,1
19.557,89.307,2.668,-3.177,-0.647,1
20.227,89.307,3.037,1.324,0.374,1
20.61,89.307,-4.291,-0.309,-1.101,1
20.666,89.307,-1.152,1.472,1.155,1
20.619,89.307,4.551,-3.583,0.504,1
20.609,89.307,-1.527,5.369,-2.419,1
20.65,89.307,-2.54,-5.618,0.356,1
20.674,89.307,2.441,2.607,-0.645,1
20.666,89.307,0.32,1.743,-0.373,1
20.644,89.307,-2.28,-3.994,0.475,1
20.342,89.307,1.952,3.372,0.027,1
19.763,89.307,0.872,-1.887,2.503,1
19.386,89.307,-3.193,0.573,1.053,1
19.319,88.276,1.049,-0.629,-3.374,1
19.338,88.281,2.467,0.987,-1.118,1
19.344,88.281,-1.911,-2.114,1.241,1
19.306,88.281,-0.834,3.039,-0.933,1
19.276,88.281,1.672,-2.101,-0.157,1
19.271,88.281,-1.394,0.872,2.562,1
19.271,88.281,0.853,0.012,1.025,1
19.269,88.281,1.339,0.743,-0.705,1
19.269,88.281,-1.428,-2.913,-2.112,1
19.283,88.281,-1.697,4.979,-0.252,1
19.543,88.281,-0.156,-4.502,1.565,1
20.159,88.281,3.92,2.589,-0.343,1
20.659,88.281,0.555,-0.628,-1.708,1
20.825,88.281,-5.22,-1.402,-0.116,1
20.815,88.281,-0.009,2.788,0.151,1
20.812,88.281,5.811,-1.952,0.293,1
20.85,88.281,-2.203,-0.295,0.507,1
20.889,88.281,-2.818,0.522,-2.227,1
20.898,88.281,1.361,1.069,-2.46,1
20.687,88.281,0.245,-3.784,-0.59,1
20.205,88.281,1.582,4.38,-1.19,1
19.885,88.281,-0.706,-1.448,1.859,1
19.818,87.273,-3.11,-1.547,1.327,1
19.818,87.278,2.064,1.707,-0.785,1
19.79,87.278,3.569,-0.519,-3.351,1
19.739,87.278,-4.147,-0.432,-1.808,1
19.718,87.278,-1.971,-0.085,0.4,1
19.729,87.278,5.109,0.135,0.505,1
19.756,87.278,-1.486,1.987,1.841,1
19.768,87.278,-2.355,-3.491,-0.563,1
19.772,87.278,2.369,2.26,1.322,1
19.773,87.278,-1.033,-1.171,-1.169,1
19.766,87.278,0.135,0.421,-2.94,1
19.915,87.278,1.618,-0.812,1.421,1
20.473,87.278,-3.8,2.346,1.221,1
21.019,87.278,2.24,-2.47,1.59,1
21.191,87.278,3.883,2.535,1.73,1
21.177,87.278,-6.738,-2.31,0.118,1
21.162,87.278,1.17,2.07,-0.637,1
21.19,87.278,5.679,-1.485,-0.575,1
21.226,87.278,-4.955,1.556,-0.286,1
21.254,87.278,-0.85,-1.907,-1.772,1
21.135,87.278,3.473,2.957,-0.896,1
20.718,87.278,-0.908,-3.766,0.619,1
20.349,87.278,-2.585,2.962,1.866,1
20.216,81.702,3.216,-2.327,1.754,1
20.221,81.707,-0.469,3.61,0.478,1
20.218,81.707,-3.431,-5.588,-0.46,1
20.176,81.707,4.129,5.442,-0.701,1
20.157,81.707,-0.197,-3.122,0.718,1
20.168,81.707,-3.088,1.761,-1.181,1
20.186,81.707,2.148,-2.101,-2.08,1
20.201,81.707,0.615,2.483,2.845,1
20.219,81.707,-2.955,0.923,1.854,1
20.221,81.707,3.106,-6.25,-0.462,1
20.226,81.707,0.822,8.59,-0.891,1
20.491,81.707,-4.736,-6.579,-0.427,1
21.034,81.707,3.034,2.838,1.559,1
21.39,81.707,1.117,0.048,0.211,1
21.455,81.707,-2.325,-0.904,-0.648,1
21.419,81.707,1.412,0.094,-1.097,1
21.416,81.707,-0.782,0.621,0.64,1
21.454,81.707,0.436,-2.722,0.489,1
21.481,81.707,-0.172,3.309,0.168,1
21.466,81.707,-0.132,-2.379,-1.935,1
21.457,81.707,1.25,1.549,-1.524,1
21.345,81.707,-1.654,-2.994,0.408,1
20.902,81.707,-1.68,3.916,-0.879,1
20.445,81.707,4.037,-3.683,-0.23,1
20.282,80,-0.758,2.818,1.042,1
20.314,80.005,-3.275,-1.724,2.408,1
20.343,80.005,3.417,0.574,-1.202,1
20.32,80.005,-0.91,0.156,0.998,1
20.279,80.005,-1.137,0.213,1.543,1
20.272,80.005,1.489,-2.092,-0.167,1
20.278,80.005,-0.842,4.873,-1.789,1
20.28,80.005,0.765,-5.522,-1.375,1
20.301,80.005,-1.399,4.091,1.48,1
20.578,80.005,0.431,-2.984,1.811,1
21.112,80.005,2.763,2.844,0.384,1
21.477,80.005,-4.031,-3.22,-1.432,1
21.515,80.005,-0.381,2.984,-0.06,1
21.455,80.005,5.052,-2.007,-0.114,1
21.431,80.005,-2.802,1.875,-1.35,1
21.459,80.005,-1.85,-4.534,0.402,1
21.479,80.005,1.378,7.513,1.506,1
21.455,80.005,0.694,-6.367,1.883,1
21.426,80.005,1.262,2.233,2.139,1
21.399,80.005,-3.112,0.271,-2.878,1
21.388,80.005,0.071,-0.218,0.245,1
21.336,80.005,3.634,-0.498,1.532,1
20.935,80.005,-3.249,-0.704,-2.978,1
20.396,80.005,0.019,0.622,-1.217,1
20.145,79.175,2.303,0.788,0.651,1
20.128,79.18,-1.269,-1.409,-0.297,1
20.148,79.18,-1.005,2.044,1.384,1
20.115,79.18,0.15,-3.373,0.71,1
20.061,79.18,1.938,4.452,-0.566,1
20.041,79.18,-0.34,-3.314,-0.264,1
20.043,79.18,-2.308,-0.133,1.636,1
20.136,79.18,1.289,2.953,0.813,1
20.662,79.18,1.033,-3.056,-1.036,1
21.316,79.18,-1.399,1.066,-1.757,1
21.579,79.18,0.478,0.563,-0.312,1
21.563,79.18,0.663,-2.476,0.996,1
21.499,79.18,-1.448,2.565,-0.231,1
21.478,79.18,0.732,0.8,-0.461,1
21.493,79.18,1.569,-6.074,-2.536,1
21.496,79.18,-2.408,6.683,-0.096,1
21.48,79.18,-0.199,-2.608,-1.532,1
21.453,79.18,2.437,-1.126,1.58,1
21.415,79.18,-1.525,2.94,3.539,1
21.378,79.18,0.165,-2.974,-0.723,1
21.378,79.18,0.133,2.313,-0.768,1
21.4,79.18,-0.692,-1.166,-1.226,1
21.117,79.18,1.642,0.373,-0.671,1
20.582,79.18,-2.108,0.932,1.142,1
20.253,79.18,1.172,-3.003,0.362,1
20.194,79.175,1.986,2.7,0.167,1
20.214,79.18,-4.557,-1.171,0.852,1
20.199,79.18,1.455,0.071,-0.648,1
20.14,79.18,4.607,0.794,0.124,1
20.093,79.18,-4.882,-1.152,0.112,1
20.136,79.18,-0.775,0.104,-1.191,1
20.559,79.18,4.135,2.95,-0.948,1
21.151,79.18,-0.763,-5.628,0.929,1
21.428,79.18,-4.585,5.5,1.245,1
21.456,79.18,2.603,-3.698,0.385,1
21.45,79.18,3.806,0.873,-0.494,1
21.475,79.18,-3.605,0.596,-4.277,1
21.504,79.18,-0.896,-0.03,1.231,1
21.51,79.18,1.396,0.015,0.89,1
21.49,79.18,0.623,0.3,-0.827,1
21.477,79.18,-0.093,-0.056,4.965,1
21.474,79.18,-0.913,-0.427,1.852,1
21.47,79.18,0.13,1.317,0.895,1
21.473,79.18,-0.027,-1.359,-0.981,1
21.482,79.18,0.108,1.233,-1.703,1
21.302,79.18,1.585,-2.318,-1.034,1
20.78,79.18,-1.902,2.52,-1.756,1
20.314,79.18,-1.37,-0.953,0.525,1
20.141,82.581,3.744,-0.154,2.144,1
20.132,82.586,-1.449,0.932,0.657,1
20.12,82.586,-2.339,-3.105,-0.877,1
20.072,82.586,2.881,5.044,-0.95,1
20.026,82.586,-1.212,-3.64,-0.451,1
20.012,82.586,0.563,0.022,0.812,1
20.126,82.586,0.033,2.171,-0.042,1
20.61,82.586,-2.155,-3.253,-1.481,1
21.119,82.586,3.342,2.442,0.852,1
21.302,82.586,-1.367,-0.498,-0.636,1
21.305,82.586,-1.659,0.582,0.309,1
21.301,82.586,3.035,-2.221,-0.72,1
21.345,82.586,-2.832,2.92,0.048,1
21.384,82.586,1.056,-1.433,3.354,1
21.379,82.586,2.954,-0.28,-0.6,1
21.344,82.586,-6.042,0.945,-1.003,1
21.325,82.586,2.998,-1.451,-0.056,1
21.314,82.586,4.273,2.946,-1.609,1
21.307,82.586,-6.407,-2.186,-0.154,1
21.327,82.586,1.28,-1.69,2.337,1
21.225,82.586,2.907,6.125,-1.278,1
20.729,82.586,-2.109,-8.697,-2.963,1
20.19,82.586,0.461,8.441,-0.453,1
20.009,82.581,-0.338,-6.652,2.108,1
20.023,82.586,-0.908,2.547,2.073,1
20.021,82.586,2.896,2.506,0.012,1
19.971,82.586,-1.749,-3.906,-0.473,1
19.917,82.586,-1.179,-0.899,1.443,1
19.897,82.586,0.903,6.347,-2.852,1
19.903,82.586,1.347,-8.441,-2.353,1
19.96,82.586,-0.576,7.943,1.381,1
20.393,82.586,-2.038,-6.342,0.783,1
21.066,82.586,1.854,3.456,-0.509,1
21.426,82.586,0.286,-0.086,0.075,1
21.471,82.586,-1.015,-0.782,-1.171,1
21.434,82.586,0.434,0.818,-0.891,1
21.436,82.586,0.478,-0.985,-1.026,1
21.478,82.586,-0.374,0.752,0.536,1
21.507,82.586,-2.118,0.711,0.823,1
21.493,82.586,4.958,-2.481,-0.762,1
21.469,82.586,-2.585,3.316,1.02,1
21.461,82.586,-4.726,-1.757,1.879,1
21.445,82.586,7.229,-0.665,-1.94,1
21.189,82.586,-0.687,1.519,-2.316,1
20.645,82.586,-5.243,-1.245,1.074,1
20.25,82.586,2.826,0.92,1.005,1
20.167,84.396,1.271,-0.635,0.767,1
20.198,84.401,-0.216,-0.114,0.992,1
20.2,84.401,-1.399,2.792,0.245,1
20.153,84.401,0.544,-4.379,-1.731,1
20.113,84.401,0.507,4.33,-0.2,1
20.115,84.401,-1.988,-2.541,0.2,1
20.124,84.401,1.372,0.493,0.718,1
20.123,84.401,2.217,0.114,1.479,1
20.226,84.401,-1.418,-0.984,-1.065,1
20.827,84.401,-3.352,2.13,-1.994,1
21.623,84.401,2.329,-3.217,-1.831,1
22.014,84.401,3.796,3.277,1.847,1
22.05,84.401,-4.568,-1.667,0.993,1
22.022,84.401,-0.81,1.553,1.955,1
22.074,84.401,4.304,-2.632,1.157,1
22.17,84.401,-2.286,2.515,-6.048,1
22.234,84.401,-2.464,-1.751,-2.035,1
22.242,84.401,3.42,-0.02,-1.266,1
22.228,84.401,1.376,0.164,-3.389,1
21.988,84.401,-4.405,1.574,4.001,1
21.468,84.401,0.536,1.026,7.423,1
21.057,84.401,3.994,-4.618,5.71,1
20.969,87.273,-1.837,4.603,-5.824,1
21.004,87.278,-2.212,-2.351,-1.617,1
21.021,87.278,1.254,0.134,-1.923,1
20.995,87.278,0.487,0.528,-0.181,1
20.97,87.278,0,0.834,3.717,1
20.972,87.278,1.473,-1.066,-1.219,1
20.983,87.278,-2.794,0.586,-1.686,1
20.995,87.278,-1.254,-0.822,2.408,1
21.011,87.278,5.287,1.273,-0.066,1
21.011,87.278,-1.436,0.657,-2.904,1
21.144,87.278,-3.982,-3.108,-0.25,1
21.773,87.278,1.148,1.815,1.753,1
22.472,87.278,3.837,1.519,1.289,1
22.773,87.278,-0.573,-2.501,-2.585,1
22.785,87.278,-5.452,2.572,1.678,1
22.777,87.278,3.23,-4.183,3.628,1
22.818,87.278,4.04,5.869,0.052,1
22.892,87.278,-5.372,-4.396,-2.966,1
22.941,87.278,-0.02,1.093,-0.531,1
22.877,87.278,3.875,0.654,0.363,1
22.417,87.278,-2.944,0.096,-0.898,1
21.798,87.278,1.352,-0.965,0.737,1
21.51,85.333,-0.422,2.624,1.819,1
21.474,85.338,-1.305,-3.828,2.413,1
21.489,85.338,2.312,4.104,-2.11,1
21.487,85.338,-1.693,-4.139,-6.064,1
21.476,85.338,1.003,2.493,-1.149,1
21.477,85.338,-0.027,0.308,6.046,1
21.508,85.338,-2.805,-2.1,5.79,1
21.533,85.338,4.758,2.508,3.243,1
21.545,85.338,-1.196,-0.512,0.33,1
21.556,85.338,-4.624,-1.699,-5.26,1
21.55,85.338,4.029,1.408,-1.17,1
21.53,85.338,2.924,-0.226,-2.941,1
21.815,85.338,-5.773,0.804,-4.84,1
22.535,85.338,0.085,-2.998,2.92,1
23.129,85.338,5.185,2.873,0.28,1
23.317,85.338,-2.878,-0.516,-0.336,1
23.304,85.338,-2.104,-1.075,0.967,1
23.302,85.338,3.09,1.415,0.124,1
23.358,85.338,-0.514,-3.23,1.875,1
23.432,85.338,-1.915,5.211,-1.246,1
23.424,85.338,2.799,-5.197,-1.936,1
23.075,85.338,-2.194,4.258,1.848,1
22.551,85.338,-1.013,-3.182,-2.368,1
22.296,83.478,4.715,0.393,-1.451,1
22.263,83.483,-3.498,1.584,1.318,1
22.253,83.483,-2.05,-1.564,1.545,1
22.201,83.483,4.356,2.381,1.961,1
22.14,83.483,-0.873,-2.546,0.906,1
22.119,83.483,-1.594,0.299,-3.377,1
22.143,83.483,0.901,1.887,-0.953,1
22.17,83.483,-1.336,0.066,3.097,1
22.189,83.483,0.441,-3.607,1.049,1
22.207,83.483,2.225,4.64,-1.199,1
22.213,83.483,-0.384,-2.234,-1.571,1
22.207,83.483,-2.928,0.094,-0.794,1
22.2,83.483,1.373,0.928,0.407,1
22.521,83.483,1.629,-0.038,0.315,1
23.298,83.483,-1.516,-0.69,1.754,1
23.905,83.483,1.342,-0.218,0.523,1
24.091,83.483,-2.368,1.66,-0.372,1
24.086,83.483,0.575,-4.59,-0.099,1
24.1,83.483,2.563,7.196,-0.006,1
24.164,83.483,-2.228,-7.296,-1.858,1
24.235,83.483,-0.826,3.875,-2.492,1
24.177,83.483,2.017,-2.724,1.541,1
23.8,83.483,-0.984,4.158,0.947,1
23.376,83.483,0.21,-4.007,-0.76,1
23.22,80.842,1.435,2.256,-2.109,1
23.209,80.847,-3.483,-2.506,1.858,1
23.2,80.847,1.533,3.707,2.545,1
23.161,80.847,2.942,-2.015,-0.244,1
23.129,80.847,-3.747,-2.508,0.79,1
23.148,80.847,0.411,6.08,-0.332,1
23.192,80.847,2.097,-5.814,0.656,1
23.226,80.847,-1.672,2.786,0.444,1
23.254,80.847,0.617,-0.434,0.432,1
23.267,80.847,-0.003,-0.529,-0.939,1
23.257,80.847,-1.327,1.6,-1.69,1
23.307,80.847,2.64,-1.883,1.7,1
23.343,80.847,-1.671,1.254,1.723,1
23.379,80.847,-1.276,-0.346,0.592,1
23.423,80.847,2.8,-0.403,0.014,1
23.476,80.847,-1.306,0.015,-1.42,1
23.549,80.847,-0.609,0.471,-0.857,1
23.623,80.847,0.787,0.103,1.406,1
23.695,80.847,-0.394,0.037,-1.378,1
23.766,80.847,0.643,-0.05,0.276,1
23.85,80.847,-0.249,0.677,2.803,1
23.914,80.847,-0.926,-0.672,0.244,1
23.651,80.847,1.159,-0.328,2.012,1
23.125,80.847,-0.716,1.219,-1.162,1
22.848,80.847,0.538,0.321,-1.222,1
22.869,78.367,0.771,-3.133,0.846,1
22.963,78.372,-2.884,3.864,0.24,1
23.008,78.372,2.211,-1.587,-0.565,1
23.018,78.372,2.182,-0.5,-2.409,1
23.061,78.372,-5.323,0.591,-2.044,1
23.159,78.372,2.445,0.829,-0.399,1
23.267,78.372,3.688,-1.873,1.883,1
23.371,78.372,-6.109,1.826,0.649,1
23.482,78.372,2.269,-2.938,0.733,1
23.59,78.372,3.381,1.762,-0.644,1
23.679,78.372,-4.985,0.209,-1.884,1
23.745,78.372,1.81,-2.232,2.932,1
23.799,78.372,1.193,3.116,0.937,1
23.86,78.372,-1.263,-1.402,-1.28,1
23.937,78.372,0.886,0.39,-0.074,1
24.032,78.372,-1.279,-0.885,0.548,1
24.135,78.372,2.134,2.181,0.185,1
24.239,78.372,-1.697,-1.789,-0.318,1
24.345,78.372,-3.46,-1.091,-1.67,1
24.463,78.372,7.171,3.71,1.173,1
24.503,78.372,-1.095,-3.304,1.315,1
23.986,78.372,-6.389,3.115,1.795,1
23.121,78.372,4.369,-4.419,0.257,1
22.654,80.842,1.803,3.44,-0.439,1
22.655,80.847,-2.876,0.984,-1.681,1
22.776,80.847,1.491,-4.358,-0.274,1
22.813,80.847,-1.815,4.406,1.69,1
22.793,80.847,0.033,-3.918,-0.087,1
22.82,80.847,3.52,3.962,0.327,1
22.938,80.847,-2.043,-3.009,-0.503,1
23.076,80.847,-2.81,0.042,-0.87,1
23.215,80.847,2.401,4.008,0.268,1
23.359,80.847,2.307,-4.435,0.767,1
23.491,80.847,-2.464,0.755,0.122,1
23.601,80.847,-2.322,2.803,0.182,1
23.681,80.847,4.067,-3.438,0.14,1
23.755,80.847,0.078,2.909,-0.493,1
23.836,80.847,-4.343,-1.639,-0.041,1
23.936,80.847,3.436,0.018,-2.217,1
24.061,80.847,0.691,-1.308,-1.402,1
24.196,80.847,-2.935,2.243,4.509,1
24.327,80.847,1.762,-0.622,-0.354,1
24.454,80.847,-0.27,-0.315,-1.878,1
24.61,80.847,0.769,0.198,0.525,1
24.598,80.847,-0.26,1.07,0.79,1
23.764,80.847,-2.696,-1.012,0.478,1
22.631,80.847,3.178,-1.435,-0.728,1
22.124,80,0.399,2.374,-2.415,1
22.191,80.005,-2.603,-1.313,0.624,1
24.94,80.005,1.229,-1.125,2.195,1
24.917,80.005,-0.196,3.175,0.785,1
24.862,80.005,0.536,-4.011,0.28,1
24.832,80.005,0.165,4.344,0.047,1
24.846,80.005,-1.406,-4.697,-2.98,1
24.865,80.005,1.203,4.046,0.194,1
24.881,80.005,0.071,-2.422,-0.255,1
24.891,80.005,-0.863,0.139,-1.106,1
25.113,80.005,0.8,0.51,1.24,1
25.411,80.005,-0.609,-0.512,-1.123,1
25.429,80.005,0.007,1.27,0.323,1
25.361,80.005,0.967,-2.162,0.781,1
25.347,80.005,-0.275,2.956,-0.564,1
25.399,80.005,-0.988,-2.158,-1.032,1
25.461,80.005,-0.862,0.736,-1.542,1
25.485,80.005,3.168,-0.545,1.419,1
25.468,80.005,-0.038,0.062,0.581,1
25.448,80.005,-5.103,0.615,0.335,1
25.445,80.005,2.59,-0.34,0.199,1
25.23,80.005,5.544,-1.063,0.106,1
24.64,80.005,-6.531,2.695,0.966,1
24.119,80.005,-1.235,-2.581,0.494,1
23.968,80.842,6.059,0.406,0.207,1
24.013,80.847,-2.715,2.757,-0.06,1
24.04,80.847,-0.837,-4.881,0.187,1
24.002,80.847,0.135,4.764,0.468,1
23.95,80.847,-1.887,-3.29,-2.526,1
23.946,80.847,5.404,2.703,-1.063,1
23.958,80.847,-2.491,-2.671,1.139,1
24.173,80.847,-3.393,0.913,-0.81,1
24.58,80.847,3.291,0.521,0.038,1
24.819,80.847,0.429,0.025,0.628,1
24.85,80.847,-0.489,-2.342,-0.323,1
24.848,80.847,-1.372,2.427,-0.467,1
24.877,80.847,0.526,0.077,2.649,1
24.932,80.847,1.203,-1.062,1.843,1
24.961,80.847,-1.11,0.952,1.251,1
24.951,80.847,0.688,-0.686,-1.443,1
24.928,80.847,-1.093,-0.106,-2.392,1
24.903,80.847,0.557,1.514,-0.041,1
24.89,80.847,1.479,-1.77,-1.223,1
24.889,80.847,-2.778,0.31,-0.253,1
24.907,80.847,1.607,0.483,2.085,1
24.648,80.847,1.218,0.164,0.332,1
23.936,80.847,-3.174,-1.348,-0.332,1
23.326,80.847,2.219,0.896,-0.675,1
23.133,80.842,-0.341,0.934,0.024,1
23.142,80.847,-0.051,-1.715,3.032,1
23.139,80.847,1.328,1.734,0.218,1
23.085,80.847,-3.378,-1.779,-2.44,1
23.018,80.847,1.639,0.219,-1.018,1
23.172,80.847,1.918,1.921,-0.821,1
23.553,80.847,-1.728,-1.971,1.015,1
23.782,80.847,0.263,1.173,1.582,1
23.819,80.847,-1.697,-1.344,1.644,1
23.827,80.847,2.535,1.27,1.471,1
23.87,80.847,0.918,-0.592,0.854,1
23.92,80.847,-4.581,0.455,-1.437,1
23.936,80.847,2.9,0.978,-0.714,1
23.909,80.847,1.751,-1.667,1.491,1
23.864,80.847,-2.565,0.52,0.229,1
23.826,80.847,-0.199,1.981,-0.711,1
23.801,80.847,0.691,-2.319,1.456,1
23.791,80.847,1.607,1.612,-0.65,1
23.799,80.847,-1.56,-1.276,-2.428,1
23.831,80.847,-1.036,0.245,-1.871,1
23.878,80.847,1.148,0.851,0.65,1
23.582,80.847,1.645,-0.975,0.287,1
22.758,80.847,-1.855,2.594,-2.053,1
22.063,80.847,-1.654,-4.352,1.001,1
21.819,80,3.144,3.745,1.96,1
21.83,80.005,-0.291,-0.758,1.26,1
21.843,80.005,-2.734,-0.84,-0.36,1
21.781,80.005,2.588,-0.896,-0.623,1
21.829,80.005,0.321,3.504,0.746,1
22.19,80.005,-2.907,-4.326,-0.132,1
22.51,80.005,1.265,2.407,1.437,1
22.601,80.005,2.859,0.336,0.253,1
22.595,80.005,-2.497,-1.217,-1.817,1
22.628,80.005,-2.255,0.685,1.208,1
22.698,80.005,3.24,-0.448,-0.651,1
22.737,80.005,1.193,-0.12,-0.527,1
22.724,80.005,-3.633,0.918,1.65,1
22.682,80.005,0.321,-0.862,0.767,1
22.642,80.005,4.24,-0.809,-2.277,1
22.617,80.005,-4.114,1.63,-0.942,1
22.615,80.005,-1.519,-1.484,-0.035,1
22.632,80.005,5.861,1.725,-0.794,1
22.668,80.005,-2.097,-1.868,-0.136,1
22.714,80.005,-3.817,0.944,1.144,1
22.64,80.005,1.805,0.205,-0.839,1
21.94,80.005,1.969,-1.508,-1.319,1
20.879,80.005,0.907,0.964,0.496,1
20.19,80.005,-3.456,0.156,-1.651,1
20.008,80.842,0.131,-0.98,2.198,1
20.016,80.847,2.923,4.123,3.706,1
20,80.847,-1.477,-6.355,-0.255,1
19.929,80.847,0.464,4.54,-2.175,1
20.024,80.847,-1.58,-0.751,-2.697,1
20.516,80.847,-0.589,-2.032,-0.14,1
20.98,80.847,4.871,2.68,2.395,1
21.135,80.847,-3.558,-2.335,0.464,1
21.139,80.847,-2.869,2.126,1.719,1
21.149,80.847,5.5,-1.34,-0.129,1
21.181,80.847,-1.378,0.888,-1.475,1
21.19,80.847,-2.942,-2.476,-0.458,1
21.155,80.847,2.585,4.173,-1.604,1
21.114,80.847,0.448,-4.898,-0.329,1
21.09,80.847,-2.167,5.841,0.612,1
21.077,80.847,0.317,-5.534,0.587,1
21.075,80.847,2.904,3.904,0.815,1
21.09,80.847,-2.078,-2.919,-1.7,1
21.128,80.847,-2.504,2.78,-1.986,1
21.104,80.847,3.713,-1.686,0.195,1
20.525,80.847,0.461,-0.94,1.781,1
19.422,80.847,-3.008,3.475,2.382,1
18.654,80.847,0.503,-3.346,0.199,1
18.442,83.478,1.547,2.146,-1.385,1
18.447,83.483,0.203,-1.715,-1.564,1
18.436,83.483,-1.718,0.352,-0.672,1
18.385,83.483,-0.273,0.477,0.113,1
18.349,83.483,2.323,0.356,0.343,1
18.451,83.483,-0.771,-2.106,1.025,1
18.992,83.483,-1.446,3.031,1.757,1
19.64,83.483,0.652,-1.721,-0.019,1
19.962,83.483,1.109,-1.796,0.656,1
20.023,83.483,-1.083,3.846,0.896,1
20.021,83.483,-0.203,-3.528,-2.254,1
20.352,80.005,-1.52,2.01,0.996,1
20.328,80.005,1.278,-0.012,2.689,1
20.36,80.005,1.271,-0.978,1.366,1
20.405,80.005,-2.046,2.591,-0.554,1
20.437,80.005,1.114,-3.597,0.062,1
20.455,80.005,0.704,3.139,-1.613,1
20.471,80.005,-2.782,-2.083,-0.571,1
20.473,80.005,1.207,1.742,-1.848,1
20.451,80.005,3.485,-1.203,1.633,1
